record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
seat-1758404,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,"Royal Park, approximately 95m NE of City of Melbourne, Flemington Oval Pavilion, Royal Park, 54 Flemington Road, PARKVILLE VIC 3052",-37.7921218,144.94837,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1758405,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,"Royal Park, approximately 93m NE of City of Melbourne, Flemington Oval Pavilion, Royal Park, 54 Flemington Road, PARKVILLE VIC 3052",-37.7921455,144.9483766,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759442,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,"Princes Park, approximately 54m NW of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7856382,144.9624871,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759443,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,"Princes Park, approximately 68m North of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.78533,144.9629057,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759444,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,"Princes Park, approximately 60m North of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7854001,144.9629013,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759445,public_seat,Seat - Platform Style - Princes Park,Seat,Seat - Platform Style - Princes Park,"Princes Park, approximately 64m NW of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7854771,144.9625365,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759446,public_seat,Seat - Platform Style - Princes Park,Seat,Seat - Platform Style - Princes Park,"Princes Park, approximately 80m North of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7852181,144.9630039,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759447,public_seat,Seat - Platform Style - Princes Park,Seat,Seat - Platform Style - Princes Park,"Princes Park, approximately 82m North of Princes Hill Tennis Club Inc, Princes Hill Tennis Club, Princes Park, 121 Princes Park Drive, CARLTON NORTH VIC 3054",-37.7851935,144.9629851,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759477,public_seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),"Riverside Quay Reserve, approximately 12m NW of Riverside Quay Reserve, 8-10 Riverside Quay, SOUTHBANK VIC 3006",-37.8212102,144.9639772,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1759478,public_seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),"Riverside Quay Reserve, approximately 8m SE of Hopscotch, Shop 4, 4 Riverside Quay, SOUTHBANK VIC 3006",-37.8211444,144.9637222,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
